149 192
BietHanon 31.537721 34.536886
BietLahya 31.550661 34.509391
Atatra 31.558707 34.487174
Jabalia 31.528475 34.479411
Gaza 31.501401 34.468150
AlZahra 31.470931 34.398463
AlMughraqa 31.467599 34.417387
JohrAlDik 31.453792 34.438798
Albareej 31.440283 34.402379
AlNosairat 31.448724 34.393054
AlZawayda 31.430448 34.370987
Almaghazi 31.422862 34.385766
AlMusaddar 31.416555 34.375568
DairAlbalah 31.418017 34.351637
WadiAlsalqa 31.395807 34.364017
AlMa'ani 31.391263 34.353301
AlQarara 31.372104 34.335681
BaniSuhaila 31.342739 34.325304
AbasanAlJadida 31.339235 34.344623
AbsanAlkabir 31.325470 34.345282
KhanYounis 31.346834 34.303897
AlMawasi 31.346943 34.255915
Tal'Aalsultan 31.307775 34.241421
Rafah 31.297239 34.243533
AlQaryaAlsowaydia 31.320099 34.223111
UmKarmeil 31.304931 34.300337
sA1 31.54877626312785 34.528564239526084
sA2 31.544906 34.526442
sA3 31.537178 34.522172
sA4 31.531821 34.519744
sA5 31.529172 34.514501
sA6 31.522288 34.495652
sA7 31.518301 34.488834
sA8 31.509637 34.475227
sA9 31.506987 34.470846
sA10 31.497484 34.458568
sA11 31.491461 34.452571
sA12 31.479859 34.442438
sA13 31.465642 34.426684
sA14 31.457205 34.416875
sA15 31.443380 34.398065
sA16 31.431261 34.382824
sA17 31.426496 34.377541
sA18 31.418298 34.369646
sA19 31.409655 34.360188
sA20 31.403489 34.353710
sA21 31.394463 34.347827
sA22 31.390839 34.345592
sA23 31.384927 34.340922
sA24 31.376936 34.333701
sA25 31.371933 34.331519
sA26 31.356231 34.327185
sA27 31.348315 34.316945
sA28 31.343846 34.314330
sA29 31.340456 34.313528
sA30 31.337435 34.309669
sA31 31.322350 34.315053
sA32 31.310079 34.316558
sA33 31.302858 34.316644
sA34 31.288064 34.313020
sA35 31.279973 34.308767
sA36 31.270130 34.289063
sA37 31.266882 34.280626
sA38 31.548434 34.518808
sA39 31.543072 34.513599
sA40 31.547881 34.501664
sA41 31.555064 34.491187
sA42 31.538118 34.508608
